,potential,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,attacking_work_rate,defending_work_rate,overall
13309,65,27,187,75,3.0,2,2,1,57.0,31.0,42.0,52.0,62.0,69.0,36,28,67,54,35,47,20,30,43,58,58,56,59,54,56,40,71,58,77,30,64,63,27,33,34,47,60,63,60,10,11,10,8,6,3,3,63
9057,66,28,179,69,1.0,3,3,1,78.0,61.0,59.0,66.0,46.0,63.0,59,62,52,62,55,65,61,44,53,66,80,77,76,62,67,66,62,79,61,58,50,41,58,62,56,59,52,44,40,14,15,10,15,7,3,5,66
13332,64,26,182,75,1.0,3,2,1,67.0,32.0,55.0,56.0,64.0,61.0,57,30,46,63,30,67,35,33,58,39,68,67,56,52,62,28,63,67,58,31,62,62,56,47,44,48,67,68,67,14,15,8,13,12,3,3,63
1546,75,30,174,61,1.0,3,3,1,74.0,57.0,70.0,74.0,70.0,68.0,76,53,58,74,54,72,65,55,63,75,76,72,78,70,82,56,69,77,63,64,70,71,67,69,60,68,71,72,73,16,15,7,15,11,5,3,75
18728,65,20,170,70,1.0,2,2,1,64.0,22.0,29.0,31.0,54.0,56.0,24,17,53,25,29,19,27,28,45,31,63,64,49,49,78,32,72,63,56,19,44,50,26,32,37,43,51,60,55,7,13,14,5,13,1,5,52
12595,69,23,193,68,1.0,3,2,1,68.0,35.0,50.0,51.0,61.0,75.0,55,34,65,57,24,49,40,30,53,53,67,68,53,53,42,38,76,74,82,31,59,61,46,40,39,60,59,63,60,14,11,11,8,8,3,3,63
4699,70,29,173,73,1.0,2,2,1,76.0,67.0,68.0,72.0,63.0,69.0,75,60,48,67,63,74,79,74,66,68,77,76,81,70,79,75,83,82,64,73,62,65,66,62,70,64,65,65,62,11,8,9,8,15,5,5,70
17326,68,20,173,68,1.0,3,2,1,65.0,58.0,42.0,56.0,24.0,49.0,27,65,60,55,60,57,47,30,31,52,67,63,60,51,70,53,55,53,52,51,33,21,50,45,51,47,20,20,17,6,7,14,9,13,3,3,57
17956,68,19,181,67,1.0,2,2,1,83.0,49.0,47.0,56.0,46.0,66.0,49,52,53,49,36,52,46,35,48,55,84,82,84,39,68,59,44,73,74,34,45,43,52,46,49,51,44,49,45,10,10,9,12,7,5,3,55
5023,70,28,176,73,1.0,3,3,1,78.0,66.0,67.0,70.0,34.0,61.0,73,66,48,68,54,70,75,57,59,68,79,78,74,70,72,69,50,71,64,69,42,25,64,65,65,66,38,31,34,16,15,18,13,10,5,3,70
