height_cm,attacking_overall,defending_overall,pace,shooting,passing,dribbling,physic,skill_overall,movement_overall,power_overall,mentality_overall,goalkeeping_overall,forward,midfielder,defender,goalkeeper
172,50,47,67,49,61,65,43,61,66,48,50,11,0,1,0,0
189,45,72,68,39,45,61,74,46,64,61,52,11,0,0,1,0
188,43,64,60,30,47,54,74,44,58,58,50,12,0,0,1,0
179,76,24,89,83,74,86,67,76,86,74,66,10,1,0,0,0
174,60,65,86,55,71,78,63,68,82,59,67,9,0,0,1,0
193,39,61,42,27,42,38,73,36,41,55,44,9,0,0,1,0
175,53,63,76,42,62,63,74,56,70,64,57,10,0,0,1,0
175,56,28,83,57,57,65,63,52,76,61,54,12,1,0,0,0
177,59,34,80,63,64,71,43,64,73,52,51,8,0,1,0,0
191,51,63,36,44,57,56,76,49,51,59,59,13,0,1,0,0
188,55,18,65,59,52,61,59,52,59,59,49,10,1,0,0,0
172,55,56,64,56,58,67,44,57,64,49,52,8,0,0,1,0
180,47,44,70,43,51,58,51,47,63,50,45,11,1,0,0,0
179,72,31,86,79,76,82,68,75,82,74,69,10,0,1,0,0
182,65,79,69,58,75,75,73,69,70,67,68,10,0,0,1,0
180,58,29,73,48,70,69,55,63,65,53,55,15,0,1,0,0
184,44,65,70,24,54,60,56,48,63,45,45,10,0,0,1,0
181,50,60,70,53,58,63,72,56,69,66,59,12,0,1,0,0
177,43,45,61,39,52,51,45,48,59,48,48,8,0,1,0,0
182,55,61,72,49,63,71,68,60,71,60,59,11,0,1,0,0
176,52,59,61,56,67,66,58,65,61,59,67,11,0,1,0,0
196,18,15,28,18,25,27,29,22,58,51,37,68,0,0,0,1
175,43,53,71,43,48,54,52,46,61,50,45,12,0,0,1,0
181,40,57,73,27,48,54,56,44,66,45,45,10,0,0,1,0
186,56,65,67,52,55,62,75,51,66,66,56,12,0,1,0,0
190,42,67,35,33,39,41,71,36,43,59,47,9,0,0,1,0
171,54,32,64,54,56,62,42,55,61,48,43,10,1,0,0,0
181,54,20,72,68,43,67,63,50,66,67,50,10,1,0,0,0
178,60,65,80,64,67,69,69,64,72,68,63,11,0,1,0,0
173,55,53,63,54,58,60,58,54,59,56,59,9,0,1,0,0
172,53,60,68,48,67,66,57,66,69,57,61,10,0,1,0,0
174,55,66,85,49,59,70,58,60,82,61,58,12,0,0,1,0
187,40,61,59,27,43,42,67,35,54,53,40,10,0,0,1,0
188,12,15,28,18,25,27,29,15,35,34,26,62,0,0,0,1
