pace,shooting,passing,dribbling,defending,physic,overall
66.0,48.0,54.0,66.0,36.0,50.0,59
60.0,63.0,67.0,65.0,56.0,63.0,65
67.0,79.0,71.0,76.0,26.0,62.0,75
45.0,67.0,45.0,61.0,35.0,66.0,66
58.0,29.0,33.0,37.0,56.0,59.0,55
58.0,21.0,43.0,39.0,60.0,64.0,60
63.0,58.0,59.0,64.0,61.0,70.0,63
55.0,52.0,68.0,64.0,56.0,58.0,63
58.0,34.0,48.0,53.0,53.0,57.0,55
74.0,27.0,56.0,56.0,61.0,67.0,65
73.0,56.0,66.0,70.0,75.0,82.0,76
73.0,62.0,65.0,71.0,50.0,61.0,67
59.0,41.0,61.0,58.0,60.0,69.0,61
65.0,47.0,55.0,60.0,61.0,76.0,64
71.0,73.0,55.0,67.0,34.0,76.0,72
66.0,29.0,35.0,46.0,44.0,54.0,48
76.0,60.0,61.0,67.0,32.0,61.0,64
62.0,69.0,71.0,74.0,57.0,64.0,72
64.0,66.0,68.0,73.0,53.0,43.0,70
63.0,25.0,40.0,44.0,62.0,57.0,60
62.0,52.0,60.0,63.0,63.0,68.0,63
67.0,61.0,50.0,58.0,25.0,76.0,64
68.0,59.0,57.0,59.0,24.0,71.0,63
68.0,43.0,54.0,54.0,50.0,60.0,55
77.0,66.0,63.0,75.0,34.0,56.0,70
66.0,71.0,50.0,68.0,27.0,56.0,70
55.0,50.0,61.0,62.0,64.0,65.0,66
76.0,58.0,70.0,75.0,55.0,57.0,69
71.0,42.0,56.0,60.0,63.0,66.0,65
79.0,43.0,58.0,57.0,70.0,73.0,72
51.0,40.0,57.0,56.0,64.0,61.0,63
78.0,58.0,57.0,63.0,29.0,53.0,64
79.0,57.0,67.0,73.0,72.0,72.0,74
70.0,66.0,68.0,65.0,51.0,66.0,67
66.0,69.0,55.0,66.0,41.0,82.0,70
61.0,26.0,39.0,43.0,60.0,62.0,59
82.0,63.0,70.0,75.0,69.0,69.0,74
56.0,46.0,60.0,61.0,45.0,55.0,60
34.0,26.0,53.0,57.0,64.0,70.0,64
52.0,69.0,76.0,72.0,70.0,66.0,73
82.0,63.0,65.0,75.0,35.0,53.0,70
70.0,63.0,65.0,71.0,57.0,70.0,67
85.0,67.0,67.0,76.0,40.0,63.0,74
63.0,46.0,60.0,60.0,71.0,74.0,72
86.0,71.0,67.0,79.0,37.0,55.0,75
51.0,35.0,50.0,56.0,63.0,71.0,64
75.0,62.0,49.0,65.0,21.0,58.0,63
81.0,53.0,59.0,68.0,66.0,64.0,70
71.0,39.0,50.0,51.0,53.0,64.0,57
75.0,44.0,66.0,71.0,69.0,73.0,72
71.0,62.0,60.0,68.0,57.0,62.0,64
72.0,37.0,52.0,57.0,54.0,64.0,60
64.0,30.0,42.0,51.0,55.0,61.0,56
67.0,56.0,66.0,77.0,69.0,61.0,72
61.0,39.0,51.0,51.0,68.0,74.0,69
80.0,63.0,63.0,70.0,29.0,61.0,68
72.0,34.0,55.0,63.0,57.0,60.0,62
91.0,76.0,76.0,84.0,49.0,72.0,82
64.0,49.0,53.0,59.0,51.0,50.0,58
69.0,54.0,63.0,67.0,54.0,51.0,63
66.0,59.0,58.0,63.0,27.0,46.0,62
56.0,55.0,62.0,67.0,70.0,70.0,70
66.0,58.0,51.0,55.0,34.0,72.0,61
89.0,72.0,67.0,75.0,27.0,67.0,76
68.0,49.0,62.0,64.0,82.0,77.0,81
64.0,36.0,50.0,48.0,46.0,54.0,48
89.0,60.0,60.0,72.0,29.0,58.0,67
58.0,31.0,33.0,49.0,68.0,66.0,66
81.0,75.0,73.0,81.0,37.0,52.0,77
78.0,44.0,54.0,56.0,70.0,76.0,71
34.0,26.0,39.0,38.0,61.0,84.0,63
69.0,31.0,46.0,57.0,61.0,64.0,63
60.0,46.0,58.0,62.0,37.0,43.0,57
45.0,64.0,82.0,79.0,83.0,72.0,82
66.0,58.0,62.0,62.0,60.0,62.0,63
77.0,53.0,45.0,61.0,18.0,41.0,54
53.0,27.0,39.0,49.0,75.0,79.0,73
83.0,63.0,60.0,71.0,31.0,61.0,66
80.0,53.0,61.0,65.0,60.0,73.0,66
58.0,49.0,54.0,61.0,61.0,74.0,64
76.0,45.0,52.0,58.0,55.0,59.0,59
72.0,56.0,51.0,61.0,30.0,48.0,59
58.0,59.0,63.0,64.0,62.0,74.0,65
68.0,69.0,56.0,68.0,32.0,72.0,70
88.0,60.0,45.0,67.0,33.0,66.0,65
77.0,56.0,60.0,64.0,62.0,73.0,68
71.0,68.0,50.0,67.0,19.0,66.0,67
76.0,57.0,66.0,74.0,68.0,77.0,73
63.0,49.0,61.0,63.0,58.0,63.0,62
54.0,58.0,38.0,55.0,20.0,46.0,55
55.0,73.0,50.0,60.0,34.0,79.0,72
73.0,37.0,46.0,53.0,53.0,60.0,59
65.0,52.0,64.0,59.0,69.0,71.0,70
57.0,70.0,70.0,70.0,65.0,71.0,72
80.0,54.0,63.0,71.0,62.0,69.0,70
85.0,69.0,62.0,72.0,32.0,71.0,69
68.0,60.0,62.0,65.0,63.0,74.0,64
56.0,25.0,27.0,30.0,50.0,55.0,49
61.0,63.0,66.0,66.0,38.0,53.0,65
